"Nome do Serviço","Categoria","Descrição"
"Amazon API Gateway","Rede e Entrega de Conteúdo","Serviço de criação e gerenciamento de APIs. Suporta RESTful e WebSocket com throttling e analytics."
"Amazon AppFlow","Integração de Aplicações","Serviço de integração de dados entre SaaS e AWS. Usa conectores pré-construídos com transformações."
"Amazon Application Recovery Controller (ARC)","Rede e Entrega de Conteúdo","Serviço para gerenciar e orquestrar a recuperação de aplicações em múltiplas regiões e zonas de disponibilidade. Monitora continuamente a prontidão para failover e fornece controles seguros para iniciar a recuperação. Utiliza roteamento baseado em Route 53 para desviar tráfego durante incidentes."
"Amazon Athena","Analytics","Serviço de consultas SQL interativas em dados do S3. Serverless com cobrança por query."
"Amazon Aurora","Banco de Dados","Banco relacional com performance superior. Compatível com MySQL e PostgreSQL, com backup contínuo."
"Amazon Aurora DSQL","Banco de Dados","Banco de dados relacional distribuído e serverless da AWS lançado em 2024, com consistência forte e disponibilidade ativa-ativa multi-region. Combina a familiaridade do PostgreSQL com escala e resiliência de sistemas distribuídos modernos."
"Amazon Bedrock AgentCore","Machine Learning","Runtime gerenciado para implantação e execução de agentes de IA em produção, lançado em 2025. Fornece infraestrutura para memória persistente de agentes, gerenciamento de sessões longas, orquestração de ferramentas e execução segura de código."
"Amazon Bio Discovery","Machine Learning","Plataforma de descoberta de medicamentos e pesquisa biológica alimentada por IA generativa e machine learning. Acelera a descoberta de novos compostos farmacêuticos, análise de proteínas e design de moléculas."
"Amazon Braket","Computação Quântica","Acesso a computadores quânticos e simuladores. Suporta desenvolvimento de algoritmos híbridos."
"Amazon Chime SDK","Comunicação","SDK para adicionar capacidades de comunicação em tempo real (voz, vídeo, mensagens, PSTN) a aplicações web e mobile customizadas. Permite construir contact centers, telemedicina, educação ao vivo e qualquer aplicação que necessite de comunicação em tempo real."
"Amazon Cloud Directory","Segurança e Identidade","Diretório nativo da nuvem para hierarquias múltiplas. Oferece esquemas flexíveis para aplicações."
"Amazon CloudFront","Rede e Entrega de Conteúdo","CDN global para entrega de conteúdo com baixa latência. Inclui cache inteligente e proteção DDoS."
"Amazon CloudSearch","Busca","Serviço de busca gerenciada com relevância customizável. Oferece indexação automática e faceted search."
"Amazon CodeCatalyst","Ferramentas de Desenvolvedor","Plataforma unificada de desenvolvimento de software que combina repositório de código, CI/CD, gestão de projetos e ambientes de desenvolvimento em um único lugar. Permite criar blueprints de projetos completos com infraestrutura, pipelines e código inicial pré-configurados."
"Amazon Cognito","Segurança e Identidade","Serviço de autenticação e gerenciamento de usuários. Suporta social logins e federação de identidades."
"Amazon Comprehend Medical","Machine Learning","NLP especializado para textos médicos. Extrai entidades clínicas e protege dados sensíveis."
"Amazon Connect Customer Profiles","Centro de Atendimento","Perfis unificados de clientes para contact centers. Oferece visão 360 graus com histórico consolidado."
"Amazon Connect Health","Centro de Atendimento","Serviço especializado em contact center para o setor de saúde, integrado ao Amazon Connect. Inclui recursos específicos para saúde como agendamento de consultas, verificação de elegibilidade de planos, autorização prévia e comunicação pós-atendimento."
"Amazon Data Firehose","Analytics","Serviço de entrega de streams de dados em tempo real para destinos como S3, Redshift, OpenSearch e provedores de terceiros. Não requer gerenciamento de infraestrutura ou código de consumidor de stream."
"Amazon DataZone","Analytics","Serviço de catálogo de dados e governança para descoberta, compartilhamento e acesso a dados em toda a organização. Cria um marketplace interno de dados onde produtores publicam datasets e consumidores solicitam acesso."
"Amazon Detective","Segurança e Identidade","Serviço de investigação de segurança com análise gráfica. Visualiza relações entre recursos e atividades."
